InicioPeriodo;FimPeriodo;codigoSegmento;Segmento;codigoModalidade;Modalidade;Posicao;InstituicaoFinanceira;TaxaJurosAoMes;TaxaJurosAoAno;cnpj8
2025-05-19;2025-05-23;2;Pessoa Jurídica;502205;Adiantamento sobre contratos de câmbio (ACC) - Pós-fixado referenciado em moeda estrangeira;1;BCO MIZUHO S.A.;0.36;4.38;61088183
2025-05-19;2025-05-23;2;Pessoa Jurídica;502205;Adiantamento sobre contratos de câmbio (ACC) - Pós-fixado referenciado em moeda estrangeira;2;BCO SOCIETE GENERALE BRASIL;0.38;4.7;61533584
2025-05-19;2025-05-23;2;Pessoa Jurídica;502205;Adiantamento sobre contratos de câmbio (ACC) - Pós-fixado referenciado em moeda estrangeira;3;BCO KDB BRASIL S.A.;0.39;4.76;07656500
2025-05-19;2025-05-23;2;Pessoa Jurídica;502205;Adiantamento sobre contratos de câmbio (ACC) - Pós-fixado referenciado em moeda estrangeira;4;BCO DO BRASIL S.A.;0.42;5.14;00000000
2025-05-19;2025-05-23;2;Pessoa Jurídica;502205;Adiantamento sobre contratos de câmbio (ACC) - Pós-fixado referenciado em moeda estrangeira;5;BBVA BRASIL BI S.A.;0.42;5.19;45283173
2025-05-19;2025-05-23;2;Pessoa Jurídica;502205;Adiantamento sobre contratos de câmbio (ACC) - Pós-fixado referenciado em moeda estrangeira;6;BCO SUMITOMO MITSUI BRASIL S.A.;0.45;5.59;60518222
2025-05-19;2025-05-23;2;Pessoa Jurídica;502205;Adiantamento sobre contratos de câmbio (ACC) - Pós-fixado referenciado em moeda estrangeira;7;ITAÚ UNIBANCO S.A.;0.46;5.7;60701190
2025-05-19;2025-05-23;2;Pessoa Jurídica;502205;Adiantamento sobre contratos de câmbio (ACC) - Pós-fixado referenciado em moeda estrangeira;8;BCO CITIBANK S.A.;0.47;5.72;33479023
2025-05-19;2025-05-23;2;Pessoa Jurídica;502205;Adiantamento sobre contratos de câmbio (ACC) - Pós-fixado referenciado em moeda estrangeira;9;BCO DO ESTADO DO RS S.A.;0.48;5.9;92702067
2025-05-19;2025-05-23;2;Pessoa Jurídica;502205;Adiantamento sobre contratos de câmbio (ACC) - Pós-fixado referenciado em moeda estrangeira;10;BCO BRADESCO S.A.;0.54;6.63;60746948
2025-05-19;2025-05-23;2;Pessoa Jurídica;502205;Adiantamento sobre contratos de câmbio (ACC) - Pós-fixado referenciado em moeda estrangeira;11;BCO SANTANDER (BRASIL) S.A.;0.54;6.67;90400888
2025-05-19;2025-05-23;2;Pessoa Jurídica;502205;Adiantamento sobre contratos de câmbio (ACC) - Pós-fixado referenciado em moeda estrangeira;12;BCO RABOBANK INTL BRASIL S.A.;0.54;6.73;01023570
2025-05-19;2025-05-23;2;Pessoa Jurídica;502205;Adiantamento sobre contratos de câmbio (ACC) - Pós-fixado referenciado em moeda estrangeira;13;BCO VOTORANTIM S.A.;0.55;6.78;59588111
2025-05-19;2025-05-23;2;Pessoa Jurídica;502205;Adiantamento sobre contratos de câmbio (ACC) - Pós-fixado referenciado em moeda estrangeira;14;BANCO INTER;0.59;7.3;00416968
2025-05-19;2025-05-23;2;Pessoa Jurídica;502205;Adiantamento sobre contratos de câmbio (ACC) - Pós-fixado referenciado em moeda estrangeira;15;CAIXA ECONOMICA FEDERAL;0.59;7.37;00360305
2025-05-19;2025-05-23;2;Pessoa Jurídica;502205;Adiantamento sobre contratos de câmbio (ACC) - Pós-fixado referenciado em moeda estrangeira;16;OURIBANK S.A.;0.6;7.4;78632767
2025-05-19;2025-05-23;2;Pessoa Jurídica;502205;Adiantamento sobre contratos de câmbio (ACC) - Pós-fixado referenciado em moeda estrangeira;17;BCO DO NORDESTE DO BRASIL S.A.;0.63;7.89;07237373
2025-05-19;2025-05-23;2;Pessoa Jurídica;502205;Adiantamento sobre contratos de câmbio (ACC) - Pós-fixado referenciado em moeda estrangeira;18;BCO DA AMAZONIA S.A.;0.64;8.01;04902979
2025-05-19;2025-05-23;2;Pessoa Jurídica;502205;Adiantamento sobre contratos de câmbio (ACC) - Pós-fixado referenciado em moeda estrangeira;19;BCO COOPERATIVO SICREDI S.A.;0.66;8.18;01181521
2025-05-19;2025-05-23;2;Pessoa Jurídica;502205;Adiantamento sobre contratos de câmbio (ACC) - Pós-fixado referenciado em moeda estrangeira;20;BCO PINE S.A.;0.66;8.2;62144175
2025-05-19;2025-05-23;2;Pessoa Jurídica;502205;Adiantamento sobre contratos de câmbio (ACC) - Pós-fixado referenciado em moeda estrangeira;21;BCO ABC BRASIL S.A.;0.67;8.28;28195667
2025-05-19;2025-05-23;2;Pessoa Jurídica;502205;Adiantamento sobre contratos de câmbio (ACC) - Pós-fixado referenciado em moeda estrangeira;22;BCO INDUSTRIAL DO BRASIL S.A.;0.67;8.3;31895683
2025-05-19;2025-05-23;2;Pessoa Jurídica;502205;Adiantamento sobre contratos de câmbio (ACC) - Pós-fixado referenciado em moeda estrangeira;23;BANCO SICOOB S.A.;0.74;9.28;02038232
2025-05-19;2025-05-23;2;Pessoa Jurídica;502205;Adiantamento sobre contratos de câmbio (ACC) - Pós-fixado referenciado em moeda estrangeira;24;BCO C6 S.A.;0.79;9.89;31872495
2025-05-19;2025-05-23;2;Pessoa Jurídica;502205;Adiantamento sobre contratos de câmbio (ACC) - Pós-fixado referenciado em moeda estrangeira;25;BCO DAYCOVAL S.A;0.82;10.25;62232889
2025-05-19;2025-05-23;2;Pessoa Jurídica;502205;Adiantamento sobre contratos de câmbio (ACC) - Pós-fixado referenciado em moeda estrangeira;26;BCO CAIXA GERAL BRASIL S.A.;0.82;10.28;33466988
2025-05-19;2025-05-23;2;Pessoa Jurídica;502205;Adiantamento sobre contratos de câmbio (ACC) - Pós-fixado referenciado em moeda estrangeira;27;BCO RENDIMENTO S.A.;0.86;10.8;68900810
2025-05-19;2025-05-23;2;Pessoa Jurídica;502205;Adiantamento sobre contratos de câmbio (ACC) - Pós-fixado referenciado em moeda estrangeira;28;BCO LUSO BRASILEIRO S.A.;1.14;14.55;59118133
2025-05-19;2025-05-23;2;Pessoa Jurídica;502205;Adiantamento sobre contratos de câmbio (ACC) - Pós-fixado referenciado em moeda estrangeira;29;BANCO TRAVELEX S.A.;1.21;15.5;11703662
2025-05-19;2025-05-23;2;Pessoa Jurídica;303101;Antecipação de faturas de cartão de crédito - Pré-fixado;1;BCO BS2 S.A.;1.16;14.82;71027866
2025-05-19;2025-05-23;2;Pessoa Jurídica;303101;Antecipação de faturas de cartão de crédito - Pré-fixado;2;BCO VOTORANTIM S.A.;1.17;15.0;59588111
2025-05-19;2025-05-23;2;Pessoa Jurídica;303101;Antecipação de faturas de cartão de crédito - Pré-fixado;3;NU FINANCEIRA S.A. CFI;1.2;15.36;30680829
2025-05-19;2025-05-23;2;Pessoa Jurídica;303101;Antecipação de faturas de cartão de crédito - Pré-fixado;4;BCO SAFRA S.A.;1.2;15.44;58160789
2025-05-19;2025-05-23;2;Pessoa Jurídica;303101;Antecipação de faturas de cartão de crédito - Pré-fixado;5;BCO BRADESCO S.A.;1.21;15.51;60746948
2025-05-19;2025-05-23;2;Pessoa Jurídica;303101;Antecipação de faturas de cartão de crédito - Pré-fixado;6;ITAÚ UNIBANCO S.A.;1.22;15.65;60701190
2025-05-19;2025-05-23;2;Pessoa Jurídica;303101;Antecipação de faturas de cartão de crédito - Pré-fixado;7;BANCO BTG PACTUAL S.A.;1.22;15.7;30306294
2025-05-19;2025-05-23;2;Pessoa Jurídica;303101;Antecipação de faturas de cartão de crédito - Pré-fixado;8;BCO FIBRA S.A.;1.26;16.16;58616418
2025-05-19;2025-05-23;2;Pessoa Jurídica;303101;Antecipação de faturas de cartão de crédito - Pré-fixado;9;BCO HSBC S.A.;1.28;16.49;53518684
2025-05-19;2025-05-23;2;Pessoa Jurídica;303101;Antecipação de faturas de cartão de crédito - Pré-fixado;10;PORTOSEG S.A. CFI;1.32;16.97;04862600
2025-05-19;2025-05-23;2;Pessoa Jurídica;303101;Antecipação de faturas de cartão de crédito - Pré-fixado;11;BCO XP S.A.;1.37;17.79;33264668
2025-05-19;2025-05-23;2;Pessoa Jurídica;303101;Antecipação de faturas de cartão de crédito - Pré-fixado;12;BCO DO BRASIL S.A.;1.38;17.87;00000000
2025-05-19;2025-05-23;2;Pessoa Jurídica;303101;Antecipação de faturas de cartão de crédito - Pré-fixado;13;BCO C6 S.A.;1.46;19.05;31872495
2025-05-19;2025-05-23;2;Pessoa Jurídica;303101;Antecipação de faturas de cartão de crédito - Pré-fixado;14;BCO SANTANDER (BRASIL) S.A.;1.52;19.84;90400888
2025-05-19;2025-05-23;2;Pessoa Jurídica;303101;Antecipação de faturas de cartão de crédito - Pré-fixado;15;BCO DA AMAZONIA S.A.;1.69;22.2;04902979
2025-05-19;2025-05-23;2;Pessoa Jurídica;303101;Antecipação de faturas de cartão de crédito - Pré-fixado;16;BCO RIBEIRAO PRETO S.A.;2.05;27.57;00517645
2025-05-19;2025-05-23;1;Pessoa Física;402101;Aquisição de outros bens - Pré-fixado;1;SINOSSERRA S/A - SCFI;0.21;2.55;22639377
2025-05-19;2025-05-23;1;Pessoa Física;402101;Aquisição de outros bens - Pré-fixado;2;BCO KOMATSU S.A.;1.17;14.93;23903068
2025-05-19;2025-05-23;1;Pessoa Física;402101;Aquisição de outros bens - Pré-fixado;3;BCO CATERPILLAR S.A.;1.28;16.45;02658435
2025-05-19;2025-05-23;1;Pessoa Física;402101;Aquisição de outros bens - Pré-fixado;4;BANCO SICOOB S.A.;1.45;18.89;02038232
2025-05-19;2025-05-23;1;Pessoa Física;402101;Aquisição de outros bens - Pré-fixado;5;BANCO CNH INDUSTRIAL CAPITAL S.A;1.62;21.33;02992446
2025-05-19;2025-05-23;1;Pessoa Física;402101;Aquisição de outros bens - Pré-fixado;6;BCO DE LAGE LANDEN BRASIL S.A.;1.63;21.46;05040481
2025-05-19;2025-05-23;1;Pessoa Física;402101;Aquisição de outros bens - Pré-fixado;7;DAYCOVAL LEASING - BCO MÚLTIPLO S.A.;1.75;23.16;43818780
2025-05-19;2025-05-23;1;Pessoa Física;402101;Aquisição de outros bens - Pré-fixado;8;BCO. J.SAFRA S.A.;1.77;23.37;03017677
2025-05-19;2025-05-23;1;Pessoa Física;402101;Aquisição de outros bens - Pré-fixado;9;BCO BRADESCO S.A.;1.82;24.1;60746948
2025-05-19;2025-05-23;1;Pessoa Física;402101;Aquisição de outros bens - Pré-fixado;10;BCO TOYOTA DO BRASIL S.A.;1.85;24.66;03215790
2025-05-19;2025-05-23;1;Pessoa Física;402101;Aquisição de outros bens - Pré-fixado;11;BCO BANESTES S.A.;2.12;28.59;28127603
2025-05-19;2025-05-23;1;Pessoa Física;402101;Aquisição de outros bens - Pré-fixado;12;BCO BV S.A.;2.14;28.92;01858774
2025-05-19;2025-05-23;1;Pessoa Física;402101;Aquisição de outros bens - Pré-fixado;13;AYMORÉ CFI S.A.;2.24;30.44;07707650
2025-05-19;2025-05-23;1;Pessoa Física;402101;Aquisição de outros bens - Pré-fixado;14;TODESCREDI S/A - CFI;2.28;31.13;09473806
2025-05-19;2025-05-23;1;Pessoa Física;402101;Aquisição de outros bens - Pré-fixado;15;BCO DO ESTADO DO RS S.A.;2.65;36.83;92702067
2025-05-19;2025-05-23;1;Pessoa Física;402101;Aquisição de outros bens - Pré-fixado;16;BCO BRADESCO FINANC. S.A.;2.71;37.82;07207996
2025-05-19;2025-05-23;1;Pessoa Física;402101;Aquisição de outros bens - Pré-fixado;17;BCO SENFF S.A.;2.79;39.19;11970623
2025-05-19;2025-05-23;1;Pessoa Física;402101;Aquisição de outros bens - Pré-fixado;18;BCO VOLKSWAGEN S.A;2.9;40.93;59109165
2025-05-19;2025-05-23;1;Pessoa Física;402101;Aquisição de outros bens - Pré-fixado;19;BCO DO BRASIL S.A.;2.92;41.23;00000000
2025-05-19;2025-05-23;1;Pessoa Física;402101;Aquisição de outros bens - Pré-fixado;20;LEBES FINANCEIRA CFI SA;3.4;49.33;11271860
2025-05-19;2025-05-23;1;Pessoa Física;402101;Aquisição de outros bens - Pré-fixado;21;HS FINANCEIRA;3.44;50.07;07512441
2025-05-19;2025-05-23;1;Pessoa Física;402101;Aquisição de outros bens - Pré-fixado;22;BCO RENDIMENTO S.A.;3.66;53.95;68900810
2025-05-19;2025-05-23;1;Pessoa Física;402101;Aquisição de outros bens - Pré-fixado;23;CREDIARE CFI S.A.;3.88;57.84;05676026
2025-05-19;2025-05-23;1;Pessoa Física;402101;Aquisição de outros bens - Pré-fixado;24;BECKER FINANCEIRA SA - CFI;4.12;62.26;20443996
2025-05-19;2025-05-23;1;Pessoa Física;402101;Aquisição de outros bens - Pré-fixado;25;BCO HONDA S.A.;4.7;73.59;03634220
2025-05-19;2025-05-23;1;Pessoa Física;402101;Aquisição de outros bens - Pré-fixado;26;CENTROCRED S.A. CFI;4.72;73.88;26225776
2025-05-19;2025-05-23;1;Pessoa Física;402101;Aquisição de outros bens - Pré-fixado;27;GRAZZIOTIN FINANCEIRA S/A;5.36;87.14;06339468
2025-05-19;2025-05-23;1;Pessoa Física;402101;Aquisição de outros bens - Pré-fixado;28;VIA CERTA FINANCIADORA S.A. - CFI;6.14;104.34;05192316
2025-05-19;2025-05-23;1;Pessoa Física;402101;Aquisição de outros bens - Pré-fixado;29;KREDILIG S.A. - CFI;6.17;105.06;06040559
2025-05-19;2025-05-23;1;Pessoa Física;402101;Aquisição de outros bens - Pré-fixado;30;NEGRESCO S.A. - CFI;6.48;112.36;04379829
2025-05-19;2025-05-23;1;Pessoa Física;402101;Aquisição de outros bens - Pré-fixado;31;BANCO INTER;6.72;118.17;00416968
2025-05-19;2025-05-23;1;Pessoa Física;402101;Aquisição de outros bens - Pré-fixado;32;MERCADO CRÉDITO SCFI S.A.;7.11;128.03;37679449
2025-05-19;2025-05-23;1;Pessoa Física;402101;Aquisição de outros bens - Pré-fixado;33;GAZINCRED S.A. SCFI;7.13;128.41;11760553
2025-05-19;2025-05-23;1;Pessoa Física;402101;Aquisição de outros bens - Pré-fixado;34;AGORACRED S/A SCFI;7.32;133.38;36321990
2025-05-19;2025-05-23;1;Pessoa Física;402101;Aquisição de outros bens - Pré-fixado;35;BANCO SEMEAR;8.03;152.66;00795423
2025-05-19;2025-05-23;1;Pessoa Física;401101;Aquisição de veículos - Pré-fixado;1;BMW FINANCEIRA S.A. - CFI;0.9;11.35;04452473
2025-05-19;2025-05-23;1;Pessoa Física;401101;Aquisição de veículos - Pré-fixado;2;BANCO BTG PACTUAL S.A.;1.02;12.92;30306294
2025-05-19;2025-05-23;1;Pessoa Física;401101;Aquisição de veículos - Pré-fixado;3;BCO DA AMAZONIA S.A.;1.09;13.9;04902979
2025-05-19;2025-05-23;1;Pessoa Física;401101;Aquisição de veículos - Pré-fixado;4;BCO MERCEDES-BENZ S.A.;1.1;14.05;60814191
2025-05-19;2025-05-23;1;Pessoa Física;401101;Aquisição de veículos - Pré-fixado;5;BANCO CNH INDUSTRIAL CAPITAL S.A;1.14;14.54;02992446
2025-05-19;2025-05-23;1;Pessoa Física;401101;Aquisição de veículos - Pré-fixado;6;BANCO HYUNDAI CAPITAL BRASIL;1.23;15.75;30172491
2025-05-19;2025-05-23;1;Pessoa Física;401101;Aquisição de veículos - Pré-fixado;7;BCO PACCAR S.A.;1.25;16.12;28517628
2025-05-19;2025-05-23;1;Pessoa Física;401101;Aquisição de veículos - Pré-fixado;8;STELLANTIS FINANCIAMENTOS CFI;1.28;16.48;03502961
2025-05-19;2025-05-23;1;Pessoa Física;401101;Aquisição de veículos - Pré-fixado;9;BCO RCI BRASIL S.A.;1.28;16.51;62307848
2025-05-19;2025-05-23;1;Pessoa Física;401101;Aquisição de veículos - Pré-fixado;10;BCO VOLVO BRASIL S.A.;1.3;16.74;58017179
2025-05-19;2025-05-23;1;Pessoa Física;401101;Aquisição de veículos - Pré-fixado;11;SCANIA BCO S.A.;1.43;18.6;11417016
2025-05-19;2025-05-23;1;Pessoa Física;401101;Aquisição de veículos - Pré-fixado;12;BCO GM S.A.;1.44;18.74;59274605
2025-05-19;2025-05-23;1;Pessoa Física;401101;Aquisição de veículos - Pré-fixado;13;BCO. J.SAFRA S.A.;1.57;20.51;03017677
2025-05-19;2025-05-23;1;Pessoa Física;401101;Aquisição de veículos - Pré-fixado;14;BCO VOLKSWAGEN S.A;1.58;20.62;59109165
2025-05-19;2025-05-23;1;Pessoa Física;401101;Aquisição de veículos - Pré-fixado;15;BCO BRADESCO S.A.;1.61;21.18;60746948
2025-05-19;2025-05-23;1;Pessoa Física;401101;Aquisição de veículos - Pré-fixado;16;BCO BANESTES S.A.;1.66;21.77;28127603
2025-05-19;2025-05-23;1;Pessoa Física;401101;Aquisição de veículos - Pré-fixado;17;FINANC ALFA S.A. CFI;1.72;22.63;17167412
2025-05-19;2025-05-23;1;Pessoa Física;401101;Aquisição de veículos - Pré-fixado;18;BCO SAFRA S.A.;1.73;22.88;58160789
2025-05-19;2025-05-23;1;Pessoa Física;401101;Aquisição de veículos - Pré-fixado;19;BCO RODOBENS S.A.;1.77;23.43;33603457
2025-05-19;2025-05-23;1;Pessoa Física;401101;Aquisição de veículos - Pré-fixado;20;SAFRA CFI S.A.;1.79;23.69;45437547
2025-05-19;2025-05-23;1;Pessoa Física;401101;Aquisição de veículos - Pré-fixado;21;BANCO INTER;1.81;24.06;00416968
2025-05-19;2025-05-23;1;Pessoa Física;401101;Aquisição de veículos - Pré-fixado;22;BANCO MONEO S.A.;1.86;24.75;07441209
2025-05-19;2025-05-23;1;Pessoa Física;401101;Aquisição de veículos - Pré-fixado;23;BRB - CFI S/A;1.88;25.0;33136888
2025-05-19;2025-05-23;1;Pessoa Física;401101;Aquisição de veículos - Pré-fixado;24;BCO TOYOTA DO BRASIL S.A.;1.9;25.37;03215790
2025-05-19;2025-05-23;1;Pessoa Física;401101;Aquisição de veículos - Pré-fixado;25;SINOSSERRA S/A - SCFI;2.0;26.77;22639377
2025-05-19;2025-05-23;1;Pessoa Física;401101;Aquisição de veículos - Pré-fixado;26;CAIXA ECONOMICA FEDERAL;2.02;27.17;00360305
2025-05-19;2025-05-23;1;Pessoa Física;401101;Aquisição de veículos - Pré-fixado;27;BCO C6 S.A.;2.03;27.27;31872495
2025-05-19;2025-05-23;1;Pessoa Física;401101;Aquisição de veículos - Pré-fixado;28;ITAÚ UNIBANCO HOLDING S.A.;2.04;27.35;60872504
2025-05-19;2025-05-23;1;Pessoa Física;401101;Aquisição de veículos - Pré-fixado;29;BCO BRADESCO FINANC. S.A.;2.07;27.85;07207996
2025-05-19;2025-05-23;1;Pessoa Física;401101;Aquisição de veículos - Pré-fixado;30;AYMORÉ CFI S.A.;2.08;28.01;07707650
2025-05-19;2025-05-23;1;Pessoa Física;401101;Aquisição de veículos - Pré-fixado;31;BCO BRASILEIRO DE CRÉDITO S.A.;2.08;28.08;01852137
2025-05-19;2025-05-23;1;Pessoa Física;401101;Aquisição de veículos - Pré-fixado;32;BCO DO BRASIL S.A.;2.19;29.64;00000000
2025-05-19;2025-05-23;1;Pessoa Física;401101;Aquisição de veículos - Pré-fixado;33;PORTOSEG S.A. CFI;2.22;30.1;04862600
2025-05-19;2025-05-23;1;Pessoa Física;401101;Aquisição de veículos - Pré-fixado;34;BCO VOTORANTIM S.A.;2.23;30.26;59588111
2025-05-19;2025-05-23;1;Pessoa Física;401101;Aquisição de veículos - Pré-fixado;35;BCO HONDA S.A.;2.47;34.04;03634220
2025-05-19;2025-05-23;1;Pessoa Física;401101;Aquisição de veículos - Pré-fixado;36;BCO YAMAHA MOTOR S.A.;2.6;36.08;10371492
2025-05-19;2025-05-23;1;Pessoa Física;401101;Aquisição de veículos - Pré-fixado;37;BECKER FINANCEIRA SA - CFI;2.7;37.7;20443996
2025-05-19;2025-05-23;1;Pessoa Física;401101;Aquisição de veículos - Pré-fixado;38;FINAMAX S.A. CFI;3.0;42.6;00411939
2025-05-19;2025-05-23;1;Pessoa Física;401101;Aquisição de veículos - Pré-fixado;39;SIMPALA S.A. CFI;3.05;43.35;34991938
2025-05-19;2025-05-23;1;Pessoa Física;401101;Aquisição de veículos - Pré-fixado;40;BANCO PAN;3.05;43.39;59285411
2025-05-19;2025-05-23;1;Pessoa Física;401101;Aquisição de veículos - Pré-fixado;41;BCO DIGIMAIS S.A.;3.08;43.93;92874270
2025-05-19;2025-05-23;1;Pessoa Física;401101;Aquisição de veículos - Pré-fixado;42;BCO DAYCOVAL S.A;3.13;44.78;62232889
2025-05-19;2025-05-23;1;Pessoa Física;401101;Aquisição de veículos - Pré-fixado;43;OMNI SA CFI;3.49;51.01;92228410
2025-05-19;2025-05-23;2;Pessoa Jurídica;210101;Capital de giro com prazo até 365 dias - Pré-fixado;1;BANCOSEGURO S.A.;1.27;16.32;10264663
